date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,137,-5.0,0.0,1,0
2022-01-02,150,-4.76,8.32,0,0
2022-01-03,92,-1.81,0.0,0,0
2022-01-04,84,-3.03,6.78,0,0
2022-01-05,89,-0.79,0.0,0,0
2022-01-06,80,-5.0,4.69,0,0
2022-01-07,77,-4.35,0.72,0,0
2022-01-08,147,-4.38,3.0,0,0
2022-01-09,191,-3.81,0.0,0,1
2022-01-10,81,-0.66,9.97,0,0
2022-01-11,80,-2.38,0.0,0,0
2022-01-12,85,-1.9,0.0,0,0
2022-01-13,87,-3.17,1.56,0,0
2022-01-14,80,-2.59,0.0,0,0
2022-01-15,159,-2.67,0.0,0,0
2022-01-16,150,-5.0,0.0,0,0
2022-01-17,76,-2.33,0.39,0,0
2022-01-18,81,-1.09,0.0,0,0
2022-01-19,74,-2.96,0.0,0,0
2022-01-20,93,-2.16,0.0,0,0
2022-01-21,77,-1.69,0.0,0,0
2022-01-22,141,-2.47,0.0,0,0
2022-01-23,153,-1.98,0.0,0,0
2022-01-24,79,-2.36,5.86,0,0
2022-01-25,82,-0.54,0.0,0,0
2022-01-26,94,-1.17,0.0,0,0
2022-01-27,96,-0.48,0.0,0,0
2022-01-28,100,0.45,0.0,0,1
2022-01-29,140,-4.69,3.47,0,0
2022-01-30,163,-2.55,0.0,0,0
2022-01-31,74,-2.15,0.0,0,0
2022-02-01,85,0.07,0.0,0,0
2022-02-02,82,-0.08,0.0,0,0
2022-02-03,84,-1.36,0.0,0,0
2022-02-04,86,0.15,0.0,0,0
2022-02-05,153,1.54,0.0,0,0
2022-02-06,147,2.45,0.0,0,0
2022-02-07,81,-0.65,0.0,0,0
2022-02-08,87,1.32,0.0,0,0
2022-02-09,92,-0.04,0.0,0,0
2022-02-10,80,0.19,0.0,0,0
2022-02-11,83,3.48,0.94,0,0
2022-02-12,150,0.6,0.0,0,0
2022-02-13,155,2.93,4.5,0,0
2022-02-14,87,0.8,0.0,0,0
2022-02-15,79,3.27,0.0,0,0
2022-02-16,84,-0.54,0.0,0,0
2022-02-17,87,4.65,0.0,0,0
2022-02-18,85,1.98,0.0,0,0
2022-02-19,151,4.79,8.03,0,0
2022-02-20,146,1.79,0.0,0,0
2022-02-21,77,1.23,0.0,0,0
2022-02-22,92,3.74,0.0,0,0
2022-02-23,79,4.16,3.09,0,0
2022-02-24,83,1.81,0.0,0,0
2022-02-25,81,1.46,0.0,0,0
2022-02-26,142,5.16,7.73,0,0
2022-02-27,154,2.55,0.25,0,0
2022-02-28,78,6.57,0.0,0,0
2022-03-01,93,2.19,0.0,0,0
2022-03-02,81,3.81,0.0,0,0
2022-03-03,81,7.7,0.0,0,0
2022-03-04,77,4.99,0.0,0,0
2022-03-05,156,7.82,0.0,0,0
2022-03-06,154,6.09,0.0,0,0
2022-03-07,83,5.18,0.0,0,0
2022-03-08,85,7.84,0.0,0,0
2022-03-09,75,3.69,9.66,0,0
2022-03-10,80,8.06,0.0,0,0
2022-03-11,85,9.55,0.0,0,0
2022-03-12,154,8.47,0.0,0,0
2022-03-13,183,6.78,0.0,0,1
2022-03-14,77,9.02,8.44,0,0
2022-03-15,82,12.53,0.0,0,0
2022-03-16,87,8.3,0.0,0,0
2022-03-17,83,7.68,0.0,0,0
2022-03-18,77,7.06,0.0,0,0
