date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,53,-5.0,0.34,1,0
2022-01-02,68,-5.0,0.0,0,0
2022-01-03,61,-5.0,0.0,0,0
2022-01-04,57,-2.9,0.0,0,0
2022-01-05,51,-5.0,4.44,0,0
2022-01-06,54,-2.22,0.0,0,0
2022-01-07,55,-2.98,0.0,0,0
2022-01-08,63,-5.0,0.0,0,0
2022-01-09,61,-4.82,7.14,0,0
2022-01-10,53,-5.0,0.0,0,0
2022-01-11,56,-5.0,0.0,0,0
2022-01-12,54,-5.0,5.67,0,0
2022-01-13,61,-4.58,0.0,0,0
2022-01-14,57,-3.71,0.0,0,0
2022-01-15,66,-2.37,0.0,0,0
2022-01-16,74,-1.97,0.0,0,0
2022-01-17,61,-0.23,0.0,0,0
2022-01-18,56,-1.72,0.0,0,0
2022-01-19,52,-5.0,0.0,0,0
2022-01-20,59,-2.56,7.26,0,0
2022-01-21,59,-3.01,9.01,0,0
2022-01-22,78,-5.0,6.27,0,1
2022-01-23,69,-0.02,0.0,0,0
2022-01-24,57,-5.0,0.0,0,0
2022-01-25,54,-0.88,5.06,0,0
2022-01-26,59,3.66,0.0,0,0
2022-01-27,61,-2.67,0.0,0,0
2022-01-28,56,-0.13,0.0,0,0
2022-01-29,71,-2.79,0.0,0,0
2022-01-30,67,-0.67,0.0,0,0
2022-01-31,56,-1.8,0.0,0,0
2022-02-01,57,3.08,1.16,0,0
2022-02-02,53,0.97,0.0,0,0
2022-02-03,55,-1.07,0.0,0,0
2022-02-04,55,-1.77,0.0,0,0
2022-02-05,68,0.23,0.0,0,0
2022-02-06,70,-1.31,0.0,0,0
2022-02-07,52,1.46,0.0,0,0
2022-02-08,54,2.86,0.0,0,0
2022-02-09,55,1.19,9.29,0,0
2022-02-10,63,-0.22,0.0,0,0
2022-02-11,62,1.96,2.77,0,1
2022-02-12,63,0.57,0.0,0,0
2022-02-13,70,1.19,0.0,0,0
2022-02-14,55,1.53,4.98,0,0
2022-02-15,55,3.51,0.0,0,0
2022-02-16,62,5.92,0.0,0,0
2022-02-17,59,1.68,0.0,0,0
2022-02-18,56,0.78,0.0,0,0
2022-02-19,73,2.85,0.0,0,0
2022-02-20,71,5.69,0.0,0,0
2022-02-21,56,2.75,0.0,0,0
2022-02-22,53,0.32,7.97,0,0
2022-02-23,59,2.73,0.0,0,0
2022-02-24,56,4.99,0.0,0,0
