date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,155,-5.0,0.0,1,0
2022-01-02,197,-5.0,0.0,0,0
2022-01-03,119,-5.0,0.0,0,0
2022-01-04,134,-5.0,0.0,0,0
2022-01-05,139,-3.0,0.0,0,0
2022-01-06,136,-5.0,0.0,0,0
2022-01-07,129,-3.12,7.19,0,0
2022-01-08,198,-5.0,0.0,0,0
2022-01-09,193,-5.0,0.0,0,0
2022-01-10,134,-2.7,0.0,0,0
2022-01-11,138,-4.31,0.0,0,0
2022-01-12,135,-5.0,0.0,0,0
2022-01-13,132,-1.39,0.0,0,0
2022-01-14,141,-2.05,0.0,0,0
2022-01-15,184,-0.27,0.0,0,0
2022-01-16,244,-3.01,0.0,0,1
2022-01-17,133,-4.44,0.0,0,0
2022-01-18,135,-2.56,0.0,0,0
2022-01-19,117,-5.0,7.83,0,0
2022-01-20,136,-4.52,0.0,0,0
2022-01-21,127,1.25,8.17,0,0
2022-01-22,194,-1.94,0.0,0,0
2022-01-23,206,-0.56,0.0,0,0
2022-01-24,128,-0.16,0.0,0,0
2022-01-25,117,-2.11,0.0,0,0
2022-01-26,127,-2.95,0.0,0,0
2022-01-27,117,-5.0,3.74,0,0
2022-01-28,127,-3.3,2.04,0,0
2022-01-29,197,3.01,0.0,0,0
2022-01-30,197,-0.39,0.0,0,0
2022-01-31,116,-0.88,5.68,0,0
2022-02-01,122,-0.41,2.21,0,0
2022-02-02,134,-1.95,0.0,0,0
2022-02-03,133,1.86,0.0,0,0
2022-02-04,126,0.12,0.0,0,0
2022-02-05,188,-1.12,0.0,0,0
2022-02-06,193,0.54,0.0,0,0
2022-02-07,127,-2.03,0.0,0,0
2022-02-08,136,-1.38,0.0,0,0
2022-02-09,141,-3.14,0.0,0,0
2022-02-10,124,1.09,0.0,0,0
2022-02-11,145,0.17,0.0,0,0
2022-02-12,169,2.28,3.06,0,0
2022-02-13,184,-0.49,0.0,0,0
2022-02-14,133,0.87,0.0,0,0
2022-02-15,136,3.05,0.0,0,0
2022-02-16,152,0.01,0.0,0,0
2022-02-17,143,2.12,0.0,0,0
2022-02-18,129,0.7,0.0,0,0
2022-02-19,199,2.62,0.0,0,0
2022-02-20,194,3.15,0.0,0,0
2022-02-21,136,-0.35,0.0,0,0
2022-02-22,141,4.06,0.0,0,0
2022-02-23,132,5.83,0.0,0,0
2022-02-24,129,4.45,0.0,0,0
2022-02-25,130,6.48,0.0,0,0
2022-02-26,184,3.21,0.0,0,0
2022-02-27,198,4.81,0.0,0,0
2022-02-28,136,3.58,0.0,0,0
2022-03-01,115,10.29,0.0,0,0
2022-03-02,114,7.4,0.0,0,0
2022-03-03,124,5.68,0.0,0,0
2022-03-04,128,8.38,0.0,0,0
2022-03-05,181,6.01,0.0,0,0
2022-03-06,158,3.62,7.0,0,0
2022-03-07,112,5.0,0.0,0,0
2022-03-08,123,3.5,0.0,0,0
2022-03-09,121,5.63,0.0,0,0
2022-03-10,124,7.25,0.0,0,0
2022-03-11,140,8.41,0.0,0,1
2022-03-12,177,7.79,0.0,0,0
2022-03-13,174,6.93,0.0,0,0
2022-03-14,111,9.96,0.0,0,0
2022-03-15,124,10.96,0.0,0,0
2022-03-16,119,7.2,3.29,0,0
2022-03-17,120,10.92,1.78,0,0
2022-03-18,126,14.87,0.0,0,0
2022-03-19,174,11.72,0.0,0,0
2022-03-20,188,9.97,0.0,0,0
2022-03-21,121,11.26,0.0,0,0
2022-03-22,124,7.33,0.0,0,0
2022-03-23,124,11.49,0.0,0,0
2022-03-24,121,5.73,0.0,0,0
2022-03-25,152,7.13,8.49,0,1
2022-03-26,170,12.7,0.0,0,0
2022-03-27,176,12.58,4.04,0,0
2022-03-28,127,13.19,0.0,0,0
2022-03-29,117,12.49,0.0,0,0
2022-03-30,110,15.84,3.54,0,0
2022-03-31,120,10.59,0.0,0,0
2022-04-01,114,14.53,0.0,0,0
2022-04-02,164,9.89,7.26,0,0
2022-04-03,229,11.57,0.0,0,1
2022-04-04,118,10.96,0.0,0,0
2022-04-05,115,13.26,0.0,0,0
2022-04-06,121,14.07,0.0,0,0
2022-04-07,118,10.68,0.0,0,0
2022-04-08,109,13.49,0.0,0,0
2022-04-09,172,13.72,0.0,0,0
2022-04-10,182,12.32,0.0,0,0
2022-04-11,129,12.85,0.0,0,0
2022-04-12,127,14.43,0.0,0,0
2022-04-13,123,17.86,0.0,0,0
2022-04-14,114,19.44,6.5,0,0
2022-04-15,153,19.25,0.0,0,1
2022-04-16,168,17.37,0.0,0,0
2022-04-17,167,18.06,0.0,0,0
2022-04-18,116,19.8,4.03,0,0
2022-04-19,119,17.22,0.0,0,0
2022-04-20,124,15.91,6.19,0,0
2022-04-21,120,16.3,0.0,0,0
2022-04-22,117,19.13,0.0,0,0
2022-04-23,178,19.0,0.0,0,0
2022-04-24,165,15.61,0.0,0,0
2022-04-25,120,20.13,0.0,0,0
2022-04-26,109,19.16,8.08,0,0
2022-04-27,124,19.45,0.0,0,0
2022-04-28,109,14.9,8.77,0,0
2022-04-29,127,18.58,0.0,0,0
2022-04-30,189,16.26,0.0,0,0
2022-05-01,178,16.06,0.0,0,0
2022-05-02,119,17.25,0.0,0,0
2022-05-03,116,21.2,0.0,0,0
2022-05-04,122,17.94,0.0,0,0
2022-05-05,106,22.15,1.99,0,0
2022-05-06,113,19.79,0.0,0,0
2022-05-07,179,21.3,0.0,0,0
2022-05-08,189,22.23,0.0,0,0
2022-05-09,120,21.64,0.0,0,0
2022-05-10,110,25.42,0.54,0,0
2022-05-11,126,22.58,0.0,0,0
2022-05-12,112,19.73,7.97,0,0
2022-05-13,114,24.07,0.0,0,0
2022-05-14,167,23.37,0.0,0,0
2022-05-15,223,23.94,0.0,0,1
2022-05-16,125,22.1,0.0,0,0
2022-05-17,120,24.73,0.0,0,0
2022-05-18,116,20.67,0.0,0,0
2022-05-19,124,21.04,0.0,0,0
2022-05-20,117,23.1,0.0,0,0
2022-05-21,178,21.87,0.0,0,0
2022-05-22,169,23.09,8.8,0,0
2022-05-23,124,21.45,0.0,0,0
2022-05-24,123,23.76,0.0,0,0
2022-05-25,116,24.69,2.58,0,0
2022-05-26,111,23.88,0.0,0,0
2022-05-27,113,26.05,0.0,0,0
2022-05-28,180,23.58,0.0,0,0
2022-05-29,183,24.13,0.0,0,0
2022-05-30,123,20.93,0.0,0,0
2022-05-31,101,25.9,5.83,0,0
2022-06-01,115,24.49,0.0,0,0
2022-06-02,114,21.44,0.0,0,0
2022-06-03,120,20.39,0.0,0,0
2022-06-04,187,23.31,0.0,0,0
2022-06-05,170,23.12,0.0,0,0
2022-06-06,129,23.9,0.0,0,0
2022-06-07,120,24.94,0.0,0,0
2022-06-08,120,24.76,2.25,0,0
2022-06-09,121,25.59,0.0,0,0
2022-06-10,111,28.1,0.0,0,0
2022-06-11,177,27.98,0.0,0,0
2022-06-12,220,27.25,0.0,0,1
2022-06-13,118,20.14,0.0,0,0
2022-06-14,116,27.43,3.15,0,0
2022-06-15,123,25.29,0.0,0,0
2022-06-16,122,23.78,0.0,0,0
2022-06-17,128,22.45,0.0,0,0
2022-06-18,178,26.44,0.0,0,0
2022-06-19,169,28.13,2.16,0,0
2022-06-20,124,20.05,0.0,0,0
2022-06-21,120,23.94,0.0,0,0
2022-06-22,124,24.65,0.0,0,0
