date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,110,-0.71,0.0,1,0
2022-01-02,134,-5.0,0.0,0,0
2022-01-03,102,-4.71,3.89,0,0
2022-01-04,105,-3.91,0.0,0,0
2022-01-05,107,-4.55,0.0,0,0
2022-01-06,101,-5.0,0.0,0,0
2022-01-07,110,-5.0,0.0,0,0
2022-01-08,128,-2.64,2.12,0,0
2022-01-09,141,-5.0,0.0,0,0
2022-01-10,96,-4.81,1.41,0,0
2022-01-11,104,-1.51,0.0,0,0
2022-01-12,104,-1.63,0.0,0,0
2022-01-13,117,-5.0,0.0,0,0
2022-01-14,96,-4.01,3.11,0,0
2022-01-15,125,-5.0,0.0,0,0
2022-01-16,132,-0.71,0.0,0,0
2022-01-17,112,-0.18,0.0,0,0
2022-01-18,106,-5.0,0.0,0,0
2022-01-19,115,-5.0,0.0,0,0
2022-01-20,108,-3.07,0.0,0,0
2022-01-21,102,-4.23,2.46,0,0
2022-01-22,120,-1.95,7.53,0,0
2022-01-23,121,-2.7,0.0,0,0
2022-01-24,114,-0.46,0.0,0,0
2022-01-25,100,-3.73,0.0,0,0
2022-01-26,107,-2.43,0.0,0,0
2022-01-27,100,-3.27,4.75,0,0
2022-01-28,108,2.64,0.0,0,0
2022-01-29,146,-0.57,0.0,0,0
2022-01-30,132,-0.45,0.0,0,0
2022-01-31,102,1.03,0.0,0,0
2022-02-01,109,0.41,0.0,0,0
2022-02-02,96,-1.05,0.0,0,0
2022-02-03,109,-0.93,0.0,0,0
2022-02-04,117,-0.89,0.0,0,0
2022-02-05,143,-2.88,0.0,0,0
2022-02-06,140,-0.49,0.0,0,0
2022-02-07,112,0.79,0.0,0,0
2022-02-08,106,0.65,0.0,0,0
2022-02-09,114,2.23,0.0,0,0
2022-02-10,102,1.44,0.0,0,0
2022-02-11,112,1.52,0.0,0,0
2022-02-12,144,1.84,0.0,0,0
2022-02-13,156,7.16,0.0,0,1
2022-02-14,109,0.63,0.0,0,0
2022-02-15,99,0.7,0.21,0,0
2022-02-16,117,3.14,0.0,0,0
2022-02-17,98,1.03,0.0,0,0
2022-02-18,104,-2.19,0.0,0,0
