date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,19,-4.98,0.0,1,0
2022-01-02,34,-4.92,6.67,0,0
2022-01-03,39,-3.24,0.0,0,0
2022-01-04,37,-4.75,0.0,0,0
2022-01-05,36,-5.0,0.0,0,0
2022-01-06,35,-4.86,0.0,0,0
2022-01-07,35,-5.0,0.0,0,0
2022-01-08,36,-0.3,0.0,0,0
2022-01-09,36,-4.12,0.0,0,0
2022-01-10,35,-2.47,3.37,0,0
2022-01-11,38,-5.0,0.0,0,0
2022-01-12,34,-5.0,0.0,0,0
2022-01-13,35,-5.0,0.0,0,0
2022-01-14,34,-1.03,0.0,0,0
2022-01-15,34,-5.0,0.0,0,0
2022-01-16,38,-3.67,0.0,0,0
2022-01-17,37,-3.59,0.0,0,0
2022-01-18,37,-4.88,2.12,0,0
2022-01-19,39,-2.82,0.0,0,0
2022-01-20,38,-2.84,0.0,0,0
2022-01-21,34,-5.0,7.65,0,0
2022-01-22,34,-5.0,0.0,0,0
2022-01-23,36,-0.93,0.0,0,0
2022-01-24,38,-5.0,0.0,0,0
2022-01-25,36,-5.0,0.0,0,0
2022-01-26,34,-2.57,9.47,0,0
2022-01-27,33,-0.78,1.8,0,0
2022-01-28,34,0.32,0.0,0,0
2022-01-29,37,-1.94,0.0,0,0
2022-01-30,38,-0.66,0.0,0,0
2022-01-31,36,-1.08,0.0,0,0
2022-02-01,36,-2.69,0.0,0,0
2022-02-02,36,-2.43,0.0,0,0
2022-02-03,35,0.74,0.0,0,0
2022-02-04,35,-2.66,0.0,0,0
2022-02-05,38,0.96,0.0,0,0
2022-02-06,35,3.86,0.27,0,0
2022-02-07,37,0.32,5.86,0,0
2022-02-08,41,-1.86,0.0,0,0
2022-02-09,34,1.59,0.0,0,0
2022-02-10,35,0.72,0.0,0,0
2022-02-11,33,-1.86,9.05,0,0
2022-02-12,34,-0.33,4.23,0,0
2022-02-13,45,0.2,0.0,0,1
2022-02-14,36,5.44,1.36,0,0
2022-02-15,36,0.11,0.0,0,0
2022-02-16,35,1.32,7.78,0,0
2022-02-17,40,2.94,0.0,0,0
2022-02-18,33,1.11,4.6,0,0
2022-02-19,35,3.98,0.0,0,0
2022-02-20,35,3.41,9.32,0,0
2022-02-21,37,5.98,0.0,0,0
2022-02-22,35,5.02,0.0,0,0
2022-02-23,34,7.24,5.34,0,0
2022-02-24,35,6.68,0.86,0,0
2022-02-25,36,4.65,0.0,0,0
2022-02-26,33,1.93,9.53,0,0
2022-02-27,37,5.54,0.0,0,0
2022-02-28,39,7.5,0.0,0,0
2022-03-01,67,6.01,0.0,0,0
2022-03-02,71,4.88,0.0,0,0
2022-03-03,73,5.75,0.0,0,0
2022-03-04,74,3.76,3.21,0,1
2022-03-05,68,4.07,0.34,0,0
2022-03-06,69,4.89,0.0,0,0
2022-03-07,70,7.81,0.0,0,0
2022-03-08,70,5.46,0.0,0,0
2022-03-09,66,5.23,8.04,0,0
2022-03-10,74,11.1,5.18,0,0
2022-03-11,92,6.78,0.0,0,1
2022-03-12,76,7.54,0.0,0,0
2022-03-13,74,5.73,0.0,0,0
2022-03-14,70,9.3,0.0,0,0
2022-03-15,69,10.26,0.0,0,0
2022-03-16,71,8.48,0.0,0,0
2022-03-17,68,7.78,0.36,0,0
2022-03-18,72,8.76,0.0,0,0
2022-03-19,77,10.45,0.0,0,0
2022-03-20,72,9.43,4.92,0,0
2022-03-21,72,10.87,0.0,0,0
2022-03-22,69,9.04,0.0,0,0
2022-03-23,65,8.66,7.58,0,0
2022-03-24,74,11.04,0.0,0,0
2022-03-25,77,10.74,0.0,0,0
2022-03-26,70,8.65,0.0,0,0
2022-03-27,71,11.42,6.83,0,0
2022-03-28,73,12.97,0.0,0,0
2022-03-29,67,12.04,0.0,0,0
2022-03-30,75,12.64,0.0,0,0
2022-03-31,72,13.46,0.0,0,0
2022-04-01,71,11.36,0.0,0,0
2022-04-02,72,14.09,0.0,0,0
2022-04-03,77,12.91,0.0,0,0
2022-04-04,71,14.13,0.0,0,0
2022-04-05,70,11.33,0.0,0,0
2022-04-06,72,14.45,0.0,0,0
2022-04-07,72,15.41,0.0,0,0
2022-04-08,70,14.88,0.0,0,0
2022-04-09,63,15.76,3.23,0,0
2022-04-10,74,17.7,0.0,0,0
2022-04-11,77,14.6,0.0,0,0
2022-04-12,64,14.77,7.68,0,0
2022-04-13,79,15.82,0.0,0,0
2022-04-14,73,20.81,0.0,0,0
2022-04-15,68,17.57,0.0,0,0
2022-04-16,66,19.5,0.0,0,0
2022-04-17,74,18.76,0.0,0,0
2022-04-18,70,17.04,0.0,0,0
2022-04-19,77,17.32,0.0,0,0
2022-04-20,68,19.06,0.0,0,0
2022-04-21,61,16.32,1.05,0,0
2022-04-22,67,19.84,0.0,0,0
2022-04-23,73,13.3,7.44,0,0
2022-04-24,73,16.43,0.0,0,0
2022-04-25,68,13.75,0.0,0,0
2022-04-26,67,17.95,9.47,0,0
2022-04-27,75,20.55,0.0,0,0
2022-04-28,71,20.93,0.0,0,0
2022-04-29,67,20.12,7.36,0,0
2022-04-30,75,19.34,0.0,0,0
2022-05-01,76,18.71,0.0,0,0
2022-05-02,70,21.21,0.0,0,0
2022-05-03,69,22.46,2.56,0,0
2022-05-04,73,20.6,0.0,0,0
2022-05-05,75,17.14,0.0,0,0
2022-05-06,73,20.52,0.0,0,0
2022-05-07,69,21.81,0.0,0,0
2022-05-08,88,21.97,0.0,0,1
2022-05-09,73,25.95,0.0,0,0
2022-05-10,64,19.29,0.0,0,0
2022-05-11,76,26.83,0.0,0,0
2022-05-12,67,20.01,0.0,0,0
