date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,84,-1.42,0.0,1,0
2022-01-02,174,-0.64,0.0,0,0
2022-01-03,113,-4.11,0.0,0,0
2022-01-04,106,-4.47,0.0,0,0
2022-01-05,112,-5.0,0.0,0,0
2022-01-06,115,0.9,0.0,0,0
2022-01-07,115,-5.0,0.0,0,0
2022-01-08,211,-1.28,0.0,0,1
2022-01-09,177,-3.99,0.0,0,0
2022-01-10,124,-5.0,0.84,0,0
2022-01-11,127,-4.51,0.0,0,0
2022-01-12,113,-3.77,7.49,0,0
2022-01-13,107,-2.52,0.93,0,0
2022-01-14,129,-5.0,0.0,0,0
2022-01-15,184,-4.59,0.0,0,0
2022-01-16,187,-5.0,0.0,0,0
2022-01-17,101,-4.09,4.64,0,0
2022-01-18,121,-3.05,0.0,0,0
2022-01-19,119,-0.13,0.0,0,0
2022-01-20,117,-4.6,0.0,0,0
2022-01-21,118,-3.29,0.0,0,0
2022-01-22,157,0.48,7.53,0,0
2022-01-23,195,-2.44,0.0,0,0
2022-01-24,120,0.38,0.0,0,0
2022-01-25,117,-1.55,3.49,0,0
2022-01-26,121,0.3,0.0,0,0
2022-01-27,123,-2.41,0.0,0,0
2022-01-28,143,-5.0,0.0,0,1
2022-01-29,183,-1.25,0.0,0,0
2022-01-30,187,0.28,0.0,0,0
2022-01-31,121,-1.72,0.0,0,0
2022-02-01,117,-2.32,0.0,0,0
2022-02-02,114,-3.28,0.0,0,0
2022-02-03,125,-0.21,0.0,0,0
2022-02-04,120,0.48,0.0,0,0
2022-02-05,164,0.37,8.69,0,0
2022-02-06,154,-1.61,0.0,0,0
2022-02-07,122,0.81,0.0,0,0
2022-02-08,109,4.24,0.0,0,0
2022-02-09,128,0.51,0.0,0,0
2022-02-10,113,5.3,5.11,0,0
2022-02-11,112,-0.98,0.0,0,0
2022-02-12,178,-1.45,0.0,0,0
2022-02-13,183,-0.57,0.0,0,0
2022-02-14,110,1.38,9.21,0,0
2022-02-15,121,3.28,0.0,0,0
2022-02-16,114,2.73,1.45,0,0
2022-02-17,107,3.95,8.17,0,0
2022-02-18,113,0.76,0.0,0,0
2022-02-19,184,4.63,0.0,0,0
2022-02-20,181,0.8,0.0,0,0
2022-02-21,120,2.6,0.0,0,0
