date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,143,-5.0,5.06,1,0
2022-01-02,142,-3.07,5.82,0,0
2022-01-03,105,-5.0,0.0,0,0
2022-01-04,97,-5.0,7.04,0,0
2022-01-05,107,-2.68,0.0,0,0
2022-01-06,116,-4.17,0.0,0,0
2022-01-07,119,-1.94,7.77,0,1
2022-01-08,169,-4.12,0.0,0,0
2022-01-09,151,-2.37,0.0,0,0
2022-01-10,113,-5.0,0.0,0,0
2022-01-11,117,-5.0,0.0,0,0
2022-01-12,107,-1.22,0.0,0,0
2022-01-13,113,-2.91,0.0,0,0
2022-01-14,110,-5.0,0.0,0,0
2022-01-15,175,-4.82,0.0,0,0
2022-01-16,142,-5.0,0.0,0,0
2022-01-17,98,-4.88,0.0,0,0
2022-01-18,97,-3.38,0.0,0,0
2022-01-19,110,-3.71,0.0,0,0
2022-01-20,109,-4.41,0.0,0,0
2022-01-21,102,-1.3,0.0,0,0
2022-01-22,151,0.51,0.0,0,0
2022-01-23,150,-3.28,1.98,0,0
2022-01-24,99,-2.19,0.0,0,0
2022-01-25,102,-0.48,0.0,0,0
2022-01-26,98,1.43,0.0,0,0
2022-01-27,109,-2.9,0.0,0,0
2022-01-28,98,0.63,3.12,0,0
2022-01-29,170,-4.7,0.0,0,1
2022-01-30,159,-2.17,0.0,0,0
2022-01-31,97,-2.47,0.0,0,0
2022-02-01,111,-4.68,0.0,0,0
2022-02-02,108,-2.31,0.0,0,0
2022-02-03,111,-1.42,0.0,0,0
2022-02-04,111,-1.44,0.0,0,0
2022-02-05,165,-3.07,0.0,0,0
2022-02-06,164,1.14,0.0,0,0
2022-02-07,104,-1.58,6.48,0,0
2022-02-08,97,-1.67,0.0,0,0
2022-02-09,108,-0.01,0.0,0,0
2022-02-10,104,2.11,0.0,0,0
2022-02-11,101,-2.17,2.07,0,0
2022-02-12,164,-0.4,0.0,0,0
2022-02-13,160,1.71,0.0,0,0
2022-02-14,96,-3.06,0.0,0,0
2022-02-15,97,0.06,0.0,0,0
2022-02-16,103,1.63,0.0,0,0
2022-02-17,99,1.62,4.54,0,0
2022-02-18,108,1.81,0.0,0,0
2022-02-19,150,5.74,0.0,0,0
2022-02-20,171,7.81,0.0,0,0
2022-02-21,97,3.6,0.0,0,0
2022-02-22,103,3.4,0.0,0,0
2022-02-23,108,2.64,0.0,0,0
2022-02-24,117,1.18,0.0,0,0
2022-02-25,105,2.47,0.0,0,0
2022-02-26,151,4.27,0.0,0,0
2022-02-27,158,6.75,0.0,0,0
2022-02-28,113,9.62,0.0,0,0
2022-03-01,93,6.2,0.0,0,0
2022-03-02,94,1.49,0.0,0,0
2022-03-03,93,5.26,0.0,0,0
2022-03-04,90,6.59,0.0,0,0
2022-03-05,132,5.64,5.46,0,0
2022-03-06,168,7.16,0.0,0,1
2022-03-07,91,4.99,0.0,0,0
2022-03-08,89,10.74,0.0,0,0
2022-03-09,101,4.94,0.0,0,0
2022-03-10,102,7.16,0.0,0,0
2022-03-11,122,9.83,4.58,0,1
2022-03-12,135,6.26,0.0,0,0
2022-03-13,127,6.98,4.6,0,0
