date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,238,-4.78,0.0,1,1
2022-01-02,192,-2.01,0.0,0,0
2022-01-03,137,-3.66,0.0,0,0
2022-01-04,90,-0.54,3.88,0,0
2022-01-05,110,-4.82,4.17,0,0
2022-01-06,99,-4.87,4.15,0,0
2022-01-07,156,-1.93,0.0,0,1
2022-01-08,232,-5.0,0.0,0,0
2022-01-09,172,-4.53,0.28,0,0
2022-01-10,108,-4.7,0.0,0,0
2022-01-11,99,-2.42,0.0,0,0
2022-01-12,97,-5.0,0.0,0,0
2022-01-13,110,-3.77,0.0,0,0
2022-01-14,125,-3.54,0.0,0,0
2022-01-15,230,-2.07,8.21,0,0
2022-01-16,204,-5.0,4.31,0,0
2022-01-17,122,-2.39,0.0,0,0
2022-01-18,103,0.6,0.0,0,0
2022-01-19,76,-1.98,0.0,0,0
2022-01-20,120,-3.69,0.0,0,0
2022-01-21,84,-1.3,0.0,0,0
2022-01-22,174,-3.76,0.0,0,0
2022-01-23,221,1.62,0.0,0,0
2022-01-24,113,-3.23,0.0,0,0
2022-01-25,81,0.3,0.0,0,0
2022-01-26,86,-2.54,0.0,0,0
2022-01-27,82,-1.86,0.0,0,0
2022-01-28,109,-3.17,0.0,0,0
2022-01-29,191,-1.34,0.28,0,0
2022-01-30,176,2.29,0.0,0,0
2022-01-31,92,-2.9,0.0,0,0
2022-02-01,121,-1.59,0.0,0,0
2022-02-02,105,-4.47,0.0,0,0
2022-02-03,97,-2.74,0.0,0,0
2022-02-04,90,0.2,0.0,0,0
2022-02-05,180,-2.59,0.0,0,0
2022-02-06,213,0.75,8.54,0,0
2022-02-07,124,-0.6,0.0,0,0
2022-02-08,112,2.85,3.47,0,0
2022-02-09,121,3.3,0.0,0,0
2022-02-10,95,2.89,0.0,0,0
2022-02-11,98,4.93,0.0,0,0
2022-02-12,163,3.79,0.0,0,0
2022-02-13,213,3.68,0.0,0,0
2022-02-14,100,5.12,0.0,0,0
2022-02-15,126,-0.07,0.0,0,0
2022-02-16,125,2.91,0.0,0,0
2022-02-17,100,-0.05,0.0,0,0
2022-02-18,115,2.17,0.0,0,0
2022-02-19,231,1.03,0.0,0,0
2022-02-20,221,0.14,0.0,0,0
2022-02-21,108,1.16,1.79,0,0
2022-02-22,95,4.13,1.2,0,0
2022-02-23,95,3.88,0.0,0,0
2022-02-24,99,4.29,0.0,0,0
2022-02-25,109,5.22,0.0,0,0
2022-02-26,176,6.65,0.0,0,0
2022-02-27,215,5.41,0.0,0,0
2022-02-28,92,3.71,0.0,0,0
2022-03-01,164,7.13,0.0,0,0
2022-03-02,132,4.1,0.0,0,0
2022-03-03,135,7.49,0.54,0,0
2022-03-04,97,8.43,0.0,0,0
2022-03-05,220,8.58,0.0,0,0
2022-03-06,309,7.42,0.0,0,0
2022-03-07,164,9.62,0.0,0,0
2022-03-08,122,3.46,0.0,0,0
2022-03-09,157,6.62,0.0,0,0
2022-03-10,136,5.86,0.0,0,0
2022-03-11,138,7.7,0.0,0,0
2022-03-12,291,8.8,0.0,0,0
2022-03-13,277,7.06,0.0,0,0
2022-03-14,180,9.13,0.0,0,0
2022-03-15,138,10.83,0.0,0,0
2022-03-16,119,8.43,4.5,0,0
2022-03-17,145,9.75,0.0,0,0
2022-03-18,188,4.15,0.0,0,0
2022-03-19,232,9.73,0.0,0,0
2022-03-20,248,8.52,8.91,0,0
2022-03-21,130,9.48,0.0,0,0
2022-03-22,219,13.06,0.0,0,0
2022-03-23,126,12.03,0.0,0,0
2022-03-24,153,9.34,0.0,0,0
2022-03-25,130,10.67,0.0,0,0
2022-03-26,309,9.79,0.0,0,0
2022-03-27,291,13.65,0.0,0,0
2022-03-28,172,10.34,0.0,0,0
2022-03-29,166,10.68,0.0,0,0
2022-03-30,140,12.15,1.61,0,0
2022-03-31,103,14.15,1.42,0,0
2022-04-01,125,14.59,0.0,0,0
2022-04-02,204,12.76,0.0,0,0
2022-04-03,248,13.68,0.0,0,0
2022-04-04,190,11.24,0.0,0,0
2022-04-05,122,13.65,0.0,0,0
2022-04-06,152,12.63,0.0,0,0
2022-04-07,174,15.4,0.0,0,0
2022-04-08,124,13.47,0.0,0,0
2022-04-09,283,16.4,0.0,0,0
2022-04-10,227,14.47,0.0,0,0
2022-04-11,129,15.59,6.58,0,0
2022-04-12,137,17.09,0.0,0,0
2022-04-13,119,15.92,7.22,0,0
2022-04-14,159,14.45,0.0,0,0
2022-04-15,159,19.16,0.0,0,0
2022-04-16,331,17.06,0.0,0,0
2022-04-17,220,18.03,5.3,0,0
2022-04-18,117,14.28,0.0,0,0
2022-04-19,145,16.89,0.0,0,0
2022-04-20,140,16.95,0.0,0,0
2022-04-21,116,16.46,7.54,0,0
2022-04-22,131,17.52,0.0,0,0
2022-04-23,278,21.4,0.0,0,0
2022-04-24,277,15.25,2.33,0,0
2022-04-25,98,15.82,0.0,0,0
2022-04-26,164,14.09,2.86,0,0
2022-04-27,166,21.97,0.0,0,0
2022-04-28,130,17.87,0.0,0,0
2022-04-29,161,21.58,0.0,0,0
2022-04-30,225,15.1,5.47,0,0
