date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,143,-5.0,0.0,1,0
2022-01-02,107,-5.0,0.0,0,0
2022-01-03,87,-2.24,0.0,0,0
2022-01-04,59,-4.23,5.7,0,0
2022-01-05,69,-4.11,0.0,0,0
2022-01-06,72,-5.0,4.89,0,0
2022-01-07,89,-2.1,0.0,0,0
2022-01-08,99,-1.04,0.0,0,0
2022-01-09,125,-5.0,0.0,0,0
2022-01-10,67,-4.95,0.0,0,0
2022-01-11,67,-5.0,0.0,0,0
2022-01-12,77,-2.41,8.04,0,0
2022-01-13,57,-2.11,0.0,0,0
2022-01-14,69,-3.46,1.29,0,0
2022-01-15,129,-3.02,0.0,0,1
2022-01-16,86,-3.09,0.15,0,0
2022-01-17,79,-3.06,0.0,0,0
2022-01-18,86,-5.0,0.0,0,0
2022-01-19,76,-0.35,0.0,0,0
2022-01-20,68,0.59,9.71,0,0
2022-01-21,80,-3.95,0.0,0,0
2022-01-22,113,-1.69,0.0,0,0
2022-01-23,103,-2.48,0.0,0,0
2022-01-24,82,-0.66,0.0,0,0
2022-01-25,63,0.15,8.07,0,0
2022-01-26,70,-0.48,8.86,0,0
2022-01-27,73,1.28,5.87,0,0
2022-01-28,86,-1.58,0.0,0,0
2022-01-29,106,-0.61,0.0,0,0
2022-01-30,121,3.98,0.0,0,1
2022-01-31,76,-0.7,0.0,0,0
2022-02-01,78,-1.79,0.0,0,0
2022-02-02,66,2.42,3.94,0,0
2022-02-03,66,-1.84,0.0,0,0
2022-02-04,80,-1.3,0.0,0,0
2022-02-05,108,0.8,0.0,0,0
2022-02-06,81,-2.07,0.0,0,0
2022-02-07,88,-0.35,0.0,0,0
2022-02-08,75,3.19,8.68,0,0
2022-02-09,77,-4.14,1.9,0,0
2022-02-10,59,-0.97,0.93,0,0
2022-02-11,75,2.46,0.0,0,0
2022-02-12,109,0.16,0.0,0,0
2022-02-13,105,-1.66,0.0,0,0
2022-02-14,72,1.99,2.22,0,0
2022-02-15,66,0.75,0.0,0,0
2022-02-16,75,2.57,0.0,0,0
2022-02-17,76,0.55,0.0,0,0
2022-02-18,76,2.07,0.0,0,0
2022-02-19,112,5.93,0.0,0,0
2022-02-20,88,5.64,3.33,0,0
2022-02-21,69,4.11,0.76,0,0
2022-02-22,65,4.93,0.0,0,0
2022-02-23,83,3.54,4.35,0,0
2022-02-24,76,3.82,3.25,0,0
2022-02-25,89,1.27,4.34,0,1
2022-02-26,111,3.29,0.0,0,0
2022-02-27,118,4.19,0.0,0,0
2022-02-28,69,3.69,0.0,0,0
2022-03-01,80,6.42,0.53,0,0
2022-03-02,90,4.6,0.0,0,0
2022-03-03,82,4.52,9.7,0,0
2022-03-04,88,6.62,0.0,0,0
2022-03-05,115,5.52,0.0,0,0
2022-03-06,127,4.54,0.0,0,0
2022-03-07,91,3.65,0.0,0,0
2022-03-08,87,10.88,0.0,0,0
2022-03-09,93,3.2,0.0,0,0
2022-03-10,93,11.53,0.0,0,0
2022-03-11,83,8.11,0.0,0,0
2022-03-12,115,11.95,0.0,0,0
2022-03-13,117,5.76,0.0,0,0
2022-03-14,82,7.1,0.0,0,0
2022-03-15,80,9.0,8.04,0,0
2022-03-16,81,7.9,0.0,0,0
2022-03-17,75,10.23,0.0,0,0
2022-03-18,93,8.53,0.0,0,0
2022-03-19,102,11.99,4.91,0,0
2022-03-20,121,10.84,0.0,0,0
2022-03-21,82,10.75,0.0,0,0
2022-03-22,102,10.09,0.0,0,0
2022-03-23,85,10.83,0.0,0,0
2022-03-24,80,8.74,0.0,0,0
2022-03-25,85,9.78,8.72,0,0
2022-03-26,96,11.12,0.0,0,0
2022-03-27,130,14.09,0.0,0,0
2022-03-28,88,15.95,0.0,0,0
2022-03-29,88,16.78,0.9,0,0
2022-03-30,93,14.24,0.0,0,0
2022-03-31,74,10.05,3.75,0,0
2022-04-01,86,9.55,0.99,0,0
2022-04-02,109,12.46,1.18,0,0
2022-04-03,122,7.55,0.0,0,0
2022-04-04,84,13.54,0.0,0,0
2022-04-05,88,16.0,0.0,0,0
2022-04-06,88,15.24,7.21,0,0
2022-04-07,98,10.83,0.0,0,0
2022-04-08,69,15.49,0.0,0,0
2022-04-09,99,15.25,2.76,0,0
