date,sales,avg_temp_c,rainfall_mm,is_holiday,is_promotion
2022-01-01,205,-5.0,2.78,1,0
2022-01-02,153,-2.79,0.0,0,0
2022-01-03,115,-3.53,0.0,0,0
2022-01-04,111,-2.42,0.0,0,0
2022-01-05,131,-5.0,0.0,0,0
2022-01-06,102,-5.0,0.0,0,0
2022-01-07,124,-2.85,0.0,0,0
2022-01-08,140,-2.41,0.0,0,0
2022-01-09,173,-5.0,0.0,0,0
2022-01-10,117,-3.13,0.0,0,0
2022-01-11,113,-1.56,6.94,0,0
2022-01-12,128,-4.51,0.0,0,0
2022-01-13,98,-5.0,4.63,0,0
2022-01-14,117,-3.93,0.0,0,0
2022-01-15,169,-2.6,0.0,0,0
2022-01-16,162,4.42,0.0,0,0
2022-01-17,105,-4.52,0.0,0,0
2022-01-18,126,-5.0,0.0,0,0
2022-01-19,117,-2.18,0.0,0,0
2022-01-20,107,-3.77,0.0,0,0
2022-01-21,135,-4.2,0.0,0,0
2022-01-22,126,-0.78,0.0,0,0
2022-01-23,149,-0.66,0.0,0,0
2022-01-24,130,-1.2,0.0,0,0
2022-01-25,102,0.51,1.47,0,0
2022-01-26,111,-1.07,0.0,0,0
2022-01-27,112,-3.71,0.0,0,0
2022-01-28,100,-5.0,0.0,0,0
2022-01-29,160,-3.4,0.0,0,0
2022-01-30,163,-3.24,0.26,0,0
2022-01-31,119,-1.62,0.0,0,0
2022-02-01,109,-1.77,2.99,0,0
2022-02-02,144,-5.0,0.0,0,0
2022-02-03,97,-1.11,7.28,0,0
2022-02-04,118,-0.18,0.0,0,0
2022-02-05,151,0.36,0.0,0,0
2022-02-06,141,-0.67,0.0,0,0
2022-02-07,109,1.12,0.0,0,0
2022-02-08,100,1.25,0.0,0,0
2022-02-09,125,-1.14,0.0,0,0
2022-02-10,130,-1.61,0.0,0,0
2022-02-11,108,3.93,0.0,0,0
2022-02-12,145,-2.54,0.0,0,0
2022-02-13,150,1.72,0.0,0,0
2022-02-14,128,2.97,0.0,0,0
2022-02-15,115,1.99,0.0,0,0
2022-02-16,129,1.52,0.0,0,0
2022-02-17,124,1.8,0.0,0,0
2022-02-18,117,1.69,0.0,0,0
2022-02-19,163,1.01,0.0,0,0
2022-02-20,150,1.03,0.0,0,0
2022-02-21,130,3.91,0.0,0,0
2022-02-22,128,4.87,0.0,0,0
2022-02-23,139,8.43,0.0,0,0
2022-02-24,128,5.26,0.0,0,0
2022-02-25,135,4.48,0.0,0,1
2022-02-26,159,6.01,5.08,0,1
2022-02-27,157,4.92,0.0,0,0
2022-02-28,109,4.75,6.56,0,0
2022-03-01,102,3.42,0.0,0,0
2022-03-02,104,6.07,9.87,0,0
2022-03-03,94,7.01,0.0,0,0
