ds,y,day_of_week,is_weekend,month,is_holiday,day_of_week_encoded,month_encoded,day_of_year_sin,day_of_year_cos,temp_c_scaled,spike_effect
2023-01-01,245,6,1,1,1,6,1,0.017201575418260506,0.9998520419557735,0.22359583851945264,0.0
2023-01-02,163,0,0,1,0,0,1,0.03439806061360801,0.9994082116062598,0.9632225394406113,0.0
2023-01-03,175,1,0,1,0,1,1,0.051584366869408364,0.9986686402879997,0.012154474689816341,0.0
2023-01-04,188,2,0,1,0,2,1,0.06875540848113941,0.9976335468520451,0.969878826707639,0.0
2023-01-05,161,3,0,1,0,3,1,0.08590610426133272,0.9963032375991965,0.04315991195057611,0.0
2023-01-06,161,4,0,1,0,4,1,0.10303137904317879,0.9946781061893646,0.8911431136980711,0.0
2023-01-07,222,5,1,1,0,5,1,0.1201261651823505,0.9927586335250793,0.5277011090862999,0.0
2023-01-08,210,6,1,1,0,6,1,0.13718540405660057,0.9905453876091833,0.9929647961193003,0.0
2023-01-09,158,0,0,1,0,0,1,0.1542040475626894,0.988039023376751,0.07379656473539886,0.0
2023-01-10,173,1,0,1,0,1,1,0.17117705961019986,0.985240282501282,0.5538542844013208,0.0
2023-01-11,158,2,0,1,0,2,1,0.18809941761179758,0.9821499931752291,0.969302535619099,0.0
2023-01-12,158,3,0,1,0,3,1,0.20496611396949532,0.9787690698649216,0.5230978441701488,0.0
2023-01-13,253,4,0,1,0,4,1,0.22177215755648186,0.975098513039961,0.6293986381352625,0.5
2023-01-14,169,5,1,1,0,5,1,0.23851257519407648,0.9711394088771653,0.6957486889846172,0.0
2023-01-15,172,6,1,1,0,6,1,0.2551824131233728,0.9668929289391521,0.45454106476777323,0.0
2023-01-16,190,0,0,1,1,0,1,0.2717767384711357,0.9623603298276545,0.6275580800840634,0.0
2023-01-17,150,1,0,1,0,1,1,0.2882906407095177,0.9575429528116719,0.5843143119231002,0.0
2023-01-18,170,2,0,1,0,2,1,0.3047192331091634,0.9524422234305676,0.901158010490989,0.0
2023-01-19,151,3,0,1,0,3,1,0.321057654185271,0.9470596510722283,0.04544638034145787,0.0
2023-01-20,144,4,0,1,0,4,1,0.3373010691361842,0.9413968285264122,0.2809631895922303,0.0
2023-01-21,220,5,1,1,0,5,1,0.3534446712740877,0.9354554315134164,0.9504114840765587,0.0
2023-01-22,195,6,1,1,0,6,1,0.3694836834473831,0.9292372181882051,0.8902637838909163,0.0
2023-01-23,166,0,0,1,0,0,1,0.38541335945432564,0.9227440286201427,0.45565675278571294,0.0
2023-01-24,144,1,0,1,0,1,1,0.4012289854475009,0.9159777842484877,0.6201325978015367,0.0
2023-01-25,157,2,0,1,0,2,1,0.4169258813287287,0.908940487313808,0.2773811829811327,0.0
2023-01-26,167,3,0,1,0,3,1,0.4324994021339788,0.901634220265486,0.1881211597237613,0.0
2023-01-27,148,4,0,1,0,4,1,0.44794493940789115,0.8940611451454876,0.46369840493998216,0.0
2023-01-28,204,5,1,1,0,5,1,0.4632579225674917,0.88622350294858,0.3533522280260528,0.0
2023-01-29,189,6,1,1,0,6,1,0.4784338202547012,0.8781236129591848,0.5836561118508721,0.0
2023-01-30,161,0,0,1,0,0,1,0.49346814167723735,0.8697638720650646,0.07773463696498484,0.0
2023-01-31,156,1,0,1,0,1,1,0.5083564379375122,0.8611467540480452,0.9743948076661665,0.0
2023-02-01,193,2,0,2,0,2,2,0.5230943033491326,0.8522748088519838,0.9862107444796029,0.0
2023-02-02,165,3,0,2,0,3,2,0.5376773767406141,0.8431506618282,0.6981617140197451,0.0
2023-02-03,149,4,0,2,0,4,2,0.5521013427459208,0.8337770129585915,0.5360963663441204,0.0
2023-02-04,210,5,1,2,0,5,2,0.5663619330814524,0.8241566360566663,0.30952761628632774,0.0
2023-02-05,180,6,1,2,0,6,2,0.580454927809098,0.8142923779467267,0.8137950197069487,0.0
2023-02-06,168,0,0,2,0,0,2,0.5943761565849831,0.804187157621448,0.6847311725538793,0.0
2023-02-07,136,1,0,2,0,1,2,0.6081214998935418,0.7938439653781019,0.1626169393448913,0.0
2023-02-08,145,2,0,2,0,2,2,0.6216868902665479,0.7832658619336791,0.9109271844938425,0.0
2023-02-09,168,3,0,2,0,3,2,0.6350683134867438,0.7724559775191742,0.822537242923169,0.0
2023-02-10,176,4,0,2,0,4,2,0.6482618097757122,0.7614175109532997,0.949799913291924,0.0
2023-02-11,201,5,1,2,0,5,2,0.6612634749656386,0.7501537286959042,0.72571950838836,0.0
2023-02-12,196,6,1,2,0,6,2,0.6740694616546161,0.7386679638813748,0.6134151959357899,0.0
2023-02-13,160,0,0,2,0,0,2,0.6866759803451553,0.726963615332308,0.4182430362906189,0.0
2023-02-14,143,1,0,2,0,1,2,0.6990793005655562,0.7150441465537444,0.9327284833540133,0.0
2023-02-15,154,2,0,2,0,2,2,0.7112757519738152,0.7029130847082615,0.8660638895004084,0.0
2023-02-16,158,3,0,2,0,3,2,0.7232617254437388,0.6905740195722293,0.04521867010618941,0.0
2023-02-17,181,4,0,2,0,4,2,0.7350336741329413,0.6780306024735382,0.026366974497252005,0.0
2023-02-18,203,5,1,2,0,5,2,0.746588114532413,0.6652865452111116,0.3764633668780496,0.0
2023-02-19,172,6,1,2,0,6,2,0.7579216274973472,0.6523456189565257,0.8105533307818329,0.0
2023-02-20,203,0,0,2,1,0,2,0.7690308592589181,0.6392116531380588,0.9872761293149445,0.0
2023-02-21,159,1,0,2,0,1,2,0.7799125224167177,0.6258885343075018,0.15041689110352818,0.0
2023-02-22,155,2,0,2,0,2,2,0.7905633969115482,0.612380204990065,0.5941307153521351,0.0
2023-02-23,174,3,0,2,0,3,2,0.8009803309782905,0.5986906625177214,0.3808908566310215,0.0
2023-02-24,180,4,0,2,0,4,2,0.8111602420785621,0.5848239578463322,0.9699143978146032,0.0
2023-02-25,212,5,1,2,0,5,2,0.8211001178128892,0.5707841943569036,0.8421189231357087,0.0
2023-02-26,185,6,1,2,0,6,2,0.8307970168121247,0.5565755266413303,0.8383287047111379,0.0
2023-02-27,241,0,0,2,0,0,2,0.8402480696078469,0.5422021592729844,0.4686931597949703,0.5
